id,HetGNN,KGAT,NIRec
u544,0.05,0.15,0.95
u545,0.1,0.15,0.75
u546,0.05,0.1,0.8
u547,0.1,0,0.85
u548,0.05,0.1,0.85
u549,0.05,0,0.95
u550,0.15,0.05,1
u551,0.05,0.05,0.85
u552,0.05,0.05,0.85
u553,0,0.15,0.95
u554,0,0.1,0.8
u555,0,0,0.75
u556,0.1,0.05,0.8
u557,0.05,0,0.9
u558,0,0,0.8
u559,0.1,0.15,0.9
u560,0.1,0.1,0.7
u561,0.05,0.05,0.75
u562,0.2,0.05,0.85
u563,0.1,0.1,1
u564,0,0,0.75
u565,0.1,0.1,0.7
u566,0.05,0.05,0.9
u567,0,0.1,0.85
u568,0,0,0.7
u569,0,0.1,0.85
u570,0,0.2,0.9
u571,0.1,0,0.85
u572,0.1,0.05,1
u573,0,0,0.75
u574,0.05,0.15,0.8
u575,0.1,0.05,0.95
u576,0.05,0,0.9
u577,0,0,0.7
u578,0,0,0.8
u579,0,0.1,0.95
u580,0,0.15,0.95
u581,0.1,0.1,1
u582,0,0.05,0.8
u583,0,0.1,0.75
u584,0,0.15,0.7
u585,0,0.2,0.95
u586,0.1,0.2,0.9
u587,0,0,0.8
u588,0.1,0.1,0.9
u589,0,0.1,0.9
u590,0,0.05,0.75
u591,0.05,0,0.75
u592,0,0,0.8
u593,0.1,0,0.65
u594,0.05,0.05,0.85
u595,0,0.1,0.75
u596,0.05,0.05,0.85
u597,0,0.05,0.35
u598,0,0.05,0.75
u599,0.1,0.1,0.8
u600,0,0.05,0.85
u601,0.05,0.05,0.9
u602,0.05,0,0.95
u603,0,0.05,0.210526316
u604,0.1,0,0.95
u605,0.1,0.1,0.75
u606,0.1,0.1,0.85
u607,0.1,0,0.95
u608,0,0.1,0.8
u609,0.15,0.1,0.85
u610,0.05,0,0.7
u611,0.05,0.05,0.85
u612,0,0.1,0.85
u613,0,0.05,0.85
u614,0,0.05,0.9
u615,0.05,0.05,0.85
u616,0.05,0.1,1
u617,0,0.05,0.8
u618,0.05,0,0.8
u619,0.15,0.15,1
u620,0.1,0.05,1
u621,0.05,0.1,0.55
u622,0,0.05,1
u623,0.1,0,0.9
u624,0.05,0.05,0.8
u625,0.05,0.15,0.95
u626,0,0.05,0.7
u627,0,0,0.95
u628,0.05,0.15,0.85
u629,0,0.2,0.95
u630,0,0.15,0.9
u631,0,0,0.95
u632,0,0,0.7
u633,0,0.05,0.75
u634,0.1,0.05,0.9
u635,0.05,0.05,0.7
u636,0.05,0.05,0.8
u637,0.1,0,0.85
u638,0.1,0.05,0.85
u639,0,0.1,0.85
u640,0,0,0.85
u641,0,0.05,0.95
u642,0.05,0.1,0.95
u643,0.15,0.1,1
u644,0.1,0.05,0.8
u645,0.05,0.05,1
u646,0.05,0.05,1
u647,0.05,0,0.9
u648,0.15,0.1,0.6
u649,0.05,0.15,0.9
u650,0.05,0.1,0.5
u651,0.1,0.05,0.85
u652,0.05,0.2,0.75
u653,0,0.1,0.9
u654,0.1,0.05,0.7
u655,0,0.05,0.8
u656,0.05,0.05,0.7
u657,0.1,0.1,0.95
u658,0,0,0.85
u659,0,0.35,0.85
u660,0.05,0,0.85
u661,0.05,0.05,0.75
u662,0,0.05,0.9
u663,0.05,0.05,0.6
u664,0.05,0.1,0.9
u665,0.1,0,0.8
u666,0.1,0.2,0.95
u667,0.05,0.1,0.85
u668,0,0.05,0.85
u669,0.25,0.05,0.85
u670,0.05,0,0.7
u671,0.1,0.1,0.75
u672,0.05,0.15,0.85
u673,0.05,0.05,0.75
u674,0,0,0.7
u675,0.1,0.05,0.75
u676,0.05,0,0.9
u677,0,0.1,0.7
u678,0.05,0.05,0.75
u679,0.15,0.15,0.8
u680,0,0.05,0.85
u681,0.15,0,1
u682,0.1,0.05,0.95
u683,0.05,0.1,0.85
u684,0.1,0,0.85
u685,0,0,0.8
u686,0,0,1
u687,0,0,0.8
u688,0,0,0.85
u689,0.15,0.1,0.95
u690,0,0.05,0.95
u691,0,0.05,0.8
u692,0,0,0.75
u693,0,0.1,0.9
u694,0.15,0.1,0.95
u695,0.1,0.05,0.9
u696,0,0.05,0.6
u697,0.05,0,0.75
u698,0.05,0.05,0.8
u699,0.15,0.05,0.9
u700,0.1,0.2,0.85
u701,0,0.05,0.75
u702,0,0.15,1
u703,0.1,0,0.8
u704,0,0.05,0.95
u705,0.25,0.3,0.9
u706,0.05,0,0.8
u707,0.1,0.05,0.9
u708,0,0,0.9
u709,0.1,0.05,0.8
u710,0,0.05,0.95
u711,0.1,0,0.7
u712,0,0,0.85
u713,0.05,0.1,1
u714,0,0,0.7
u715,0.1,0.15,1
u716,0.15,0.05,0.75
u717,0.1,0.05,0.95
u718,0.1,0.05,0.85
u719,0.05,0.05,0.75
u720,0,0,0.7
u721,0.05,0.05,0.9
u722,0.15,0.05,0.95
u723,0.15,0.15,1
u724,0.05,0.1,0.85
u725,0,0,0.75
u726,0.15,0.15,1
u727,0.15,0,0.95
u728,0.05,0.05,0.8
u729,0,0,0.95
u730,0.15,0.15,1
u731,0.05,0.1,0.85
u732,0,0,0.85
u733,0.1,0.15,0.9
u734,0,0.1,0.8
u735,0,0.05,0.8
u736,0.1,0.1,0.85
u737,0,0,0.75
u738,0.1,0.05,0.65
u739,0.05,0,0.95
u740,0.1,0.1,0.8
u741,0.15,0.05,0.75
u742,0.05,0.1,0.95
u743,0,0.05,0.85
u744,0,0.1,0.95
u745,0.05,0,0.95
u746,0,0,0.7
u747,0.05,0,0.9
u748,0,0.05,0.8
u749,0,0.1,0.7
u750,0.05,0.1,0.9
u751,0.05,0.05,0.85
u752,0,0.1,0.8
u753,0.1,0.15,0.8
u754,0,0,0.9
u755,0.05,0,0.8
u756,0.05,0.15,0.8
u757,0.05,0.05,0.75
u758,0,0,0.85
u759,0.05,0,0.9
u760,0,0,0.9
u761,0.15,0.1,0.7
u762,0,0.25,0.95
u763,0,0,0.85
u764,0,0,0.65
u765,0,0.05,0.9
u766,0,0.05,0.9
u767,0,0.05,1
u768,0.1,0.05,0.75
u769,0.1,0.05,1
u770,0.05,0.05,0.9
u771,0.05,0,0.85
u772,0,0,0.9
u773,0.05,0.05,0.7
u774,0.15,0.05,0.75
u775,0,0.05,0.8
u776,0.05,0.05,0.9
u777,0,0.05,0.9
u778,0.1,0,0.9
u779,0.05,0.05,0.9
u780,0,0.1,0.95
u781,0,0.05,0.9
u782,0,0,0.9
u783,0.05,0.05,0.9
u784,0,0,0.8
u785,0,0.1,1
u786,0,0.05,0.9
u787,0,0,0.75
u788,0,0.15,1
u789,0.05,0.1,0.75
u790,0.1,0.1,0.9
u791,0.1,0,0.85
u792,0.05,0.15,0.8
u793,0.15,0,0.95
u794,0,0.15,0.8
u795,0.1,0,0.8
u796,0.05,0,0.9
u797,0.15,0.05,0.8
u798,0.2,0,0.85
u799,0,0,0.9
u800,0.05,0.05,0.9
u801,0,0.05,0.95
u802,0,0,0.8
u803,0,0,0.75
u804,0.1,0.05,0.95
u805,0.05,0.05,0.9
u806,0.1,0.1,0.8
u807,0.05,0.05,0.9
u808,0.05,0.1,0.85
u809,0.1,0.1,0.85
u810,0.15,0,0.85
u811,0,0.2,1
u812,0.1,0.05,0.7
u813,0.05,0.05,0.75
u814,0,0.1,0.9
u815,0,0.1,0.65
u816,0.1,0.1,0.666666667
u817,0,0,0.7
u818,0,0,0.95
u819,0.1,0,0.8
u820,0.05,0.05,0.8
u821,0,0.05,0.85
u822,0,0,0.9
u823,0,0,0.8
u824,0,0.05,0.85
u825,0.15,0.05,0.95
u826,0.05,0,0.65
u827,0,0.05,0.9
u828,0,0.05,1
u829,0,0.05,0.75
u830,0.15,0,0.95
u831,0,0,0.55
u832,0,0.05,0.75
u833,0.05,0.15,0.95
u834,0,0.15,0.95
u835,0.15,0,0.95
u836,0.05,0,0.8
u837,0,0.05,0.95
u838,0,0.1,0.85
u839,0.05,0.1,0.9
u840,0,0.1,1
u841,0.15,0.1,0.95
u842,0.05,0,0.75
u843,0.05,0.1,0.85
u844,0.1,0.05,1
u845,0.2,0.05,0.95
u846,0.2,0.2,0.95
u847,0.1,0,0.45
u848,0.05,0.05,0.7
u849,0.05,0.05,0.95
u850,0.05,0.2,0.7
u851,0,0.05,0.65
u852,0.05,0.15,0.9
u853,0,0.25,0.85
u854,0.05,0,0.85
u855,0.05,0.05,1
u856,0,0.05,0.75
u857,0.15,0,0.75
u858,0.05,0,0.8
u859,0.15,0.15,0.95
u860,0.1,0,1
u861,0.05,0,1
u862,0.05,0.05,0.9
u863,0.15,0.25,0.75
u864,0.05,0.05,0.8
u865,0,0,0.166666667
u866,0,0.05,0.8
u867,0.05,0.1,0.9
u868,0.05,0.05,0.8
u869,0.05,0.05,0.85
u870,0.05,0.05,0.95
