id,HetGNN,KGAT,NIRec
u422,0.7949,0.8041,0.8712
u423,0.8043,0.8246,0.7389
u424,0.814,0.8753,0.8347
u425,0.7487,0.8339,0.7104
u426,0.8074,0.8104,0.7763
u427,0.742,0.836,0.8233
u428,0.7755,0.8162,0.7643
u429,0.6335,0.867,0.6993
u430,0.8775,0.8632,0.8693
u431,0.7301,0.8886,0.8307
u432,0.754,0.7863,0.7724
u433,0.7213,0.8387,0.6508
u434,0.7635,0.8189,0.7522
u435,0.7481,0.7794,0.7557
u436,0.71,0.7532,0.7191
u437,0.8302,0.8298,0.8297
u438,0.8661,0.899,0.8186
u439,0.7479,0.8283,0.7811
u440,0.765,0.898,0.8454
u441,0.7968,0.8191,0.6444
u442,0.7809,0.8444,0.7302
u443,0.6157,0.8164,0.6907
u444,0.808,0.8683,0.8912
u445,0.762,0.788,0.6432
u446,0.7979,0.7434,0.8353
u447,0.795,0.8749,0.697
u448,0.6741,0.8073,0.6922
u449,0.6931,0.8239,0.663
u450,0.6726,0.743,0.7347
u451,0.8063,0.8482,0.7535
u452,0.7311,0.8229,0.7831
u453,0.6368,0.8279,0.7368
u454,0.7219,0.7764,0.7482
u455,0.6451,0.7722,0.7359
u456,0.7527,0.802,0.7534
u457,0.7575,0.8644,0.7538
u458,0.8291,0.9051,0.8292
u459,0.7805,0.7886,0.8438
u460,0.8249,0.9081,0.7874
u461,0.7957,0.7946,0.7992
u462,0.7012,0.8396,0.7968
u463,0.773,0.8363,0.7544
u464,0.7991,0.8134,0.7011
u465,0.7714,0.8331,0.7971
u466,0.7987,0.8726,0.8284
u467,0.7035,0.8089,0.6811
u468,0.7235,0.8063,0.7714
u469,0.7658,0.8054,0.7743
u470,0.7347,0.8179,0.77
u471,0.2917,0.7575,0.7362
u472,0.8192,0.859,0.822
u473,0.7585,0.8275,0.7154
u474,0.8398,0.8925,0.8671
u475,0.7569,0.8443,0.803
u476,0.6855,0.8177,0.5939
u477,0.7958,0.8007,0.823
u478,0.7469,0.829,0.7065
u479,0.6243,0.7238,0.6601
u480,0.6771,0.7649,0.7499
u481,0.7115,0.806,0.6847
u482,0.7325,0.7786,0.784
u483,0.7604,0.8043,0.8085
u484,0.7697,0.8278,0.8275
u485,0.82,0.8399,0.8344
u486,0.8101,0.8534,0.8196
u487,0.7759,0.7993,0.778
u488,0.8034,0.8869,0.7746
u489,0.7883,0.8262,0.7364
u490,0.721,0.8607,0.7082
u491,0.791,0.8494,0.767
u492,0.846,0.8693,0.7929
u493,0.7964,0.8341,0.7626
u494,0.717,0.7625,0.8131
u495,0.7837,0.8488,0.7359
u496,0.7223,0.8216,0.7591
u497,0.8282,0.8189,0.7594
u498,0.7873,0.8652,0.7853
u499,0.5331,0.7561,0.6384
u500,0.8316,0.8434,0.819
u501,0.6887,0.8562,0.7101
u502,0.8216,0.8133,0.791
u503,0.8182,0.8403,0.8577
u504,0.7575,0.7951,0.7096
u505,0.6352,0.7782,0.7366
u506,0.7123,0.7635,0.7049
u507,0.7942,0.8387,0.8296
u508,0.7407,0.8814,0.753
u509,0.7728,0.7978,0.7785
u510,0.7588,0.8311,0.7472
u511,0.7342,0.7779,0.8227
u512,0.8096,0.893,0.8377
u513,0.6574,0.8534,0.7491
u514,0.7286,0.7974,0.6686
u515,0.6519,0.8068,0.7033
u516,0.7143,0.8529,0.6886
u517,0.7803,0.8584,0.776
u518,0.701,0.8698,0.8102
u519,0.6799,0.8316,0.7732
u520,0.7341,0.8561,0.7841
u521,0.7059,0.8429,0.6871
u522,0.653,0.8241,0.6105
u523,0.8177,0.8452,0.8134
u524,0.6063,0.7264,0.5286
u525,0.7311,0.8107,0.7994
u526,0.7403,0.7791,0.7859
u527,0.6859,0.8123,0.6395
u528,0.8353,0.8504,0.8383
u529,0.7628,0.8348,0.7808
u530,0.7694,0.8609,0.8637
u531,0.7132,0.7838,0.6842
u532,0.8677,0.8199,0.8277
u533,0.6704,0.7754,0.6174
u534,0.7021,0.8167,0.7245
u535,0.7071,0.8272,0.7113
u536,0.7095,0.8179,0.7865
u537,0.7121,0.8424,0.7599
u538,0.8121,0.8422,0.7835
u539,0.7778,0.8293,0.8361
u540,0.7056,0.8663,0.6358
u541,0.7394,0.8364,0.7491
u542,0.7833,0.8369,0.8301
u543,0.7358,0.7958,0.7597
u544,0.7783,0.8067,0.8476
u545,0.7447,0.8367,0.6263
u546,0.7774,0.8832,0.8125
u547,0.7439,0.7994,0.7467
u548,0.7708,0.7968,0.7556
u549,0.7953,0.8041,0.7745
u550,0.7926,0.8582,0.9343
u551,0.7517,0.8459,0.7668
u552,0.7726,0.7979,0.758
u553,0.695,0.8286,0.8333
u554,0.8075,0.8724,0.7496
u555,0.6872,0.7675,0.6919
u556,0.7231,0.7839,0.7544
u557,0.774,0.8406,0.7992
u558,0.6771,0.7233,0.6955
u559,0.7914,0.8727,0.8063
u560,0.7255,0.8991,0.7634
u561,0.7238,0.8429,0.6401
u562,0.7512,0.8359,0.7881
u563,0.7723,0.7996,0.7407
u564,0.7219,0.8194,0.7642
u565,0.7394,0.8178,0.6978
u566,0.8187,0.8431,0.7933
u567,0.7851,0.8208,0.7597
u568,0.6487,0.782,0.5848
u569,0.7397,0.8166,0.774
u570,0.7672,0.8257,0.7015
u571,0.7692,0.7937,0.6733
u572,0.8649,0.8815,0.9084
u573,0.7386,0.7463,0.7015
u574,0.787,0.8204,0.7421
u575,0.7459,0.7917,0.7595
u576,0.7436,0.8557,0.8366
u577,0.6433,0.7849,0.5841
u578,0.7744,0.8342,0.6893
u579,0.7518,0.7498,0.7982
u580,0.8337,0.8787,0.8563
u581,0.7401,0.8763,0.7642
u582,0.6991,0.7484,0.7988
u583,0.6445,0.7485,0.6662
u584,0.6778,0.8122,0.6986
u585,0.7078,0.7675,0.8047
u586,0.7892,0.8768,0.7721
u587,0.7377,0.8186,0.659
u588,0.7367,0.804,0.7661
u589,0.8242,0.8326,0.7708
u590,0.6624,0.8105,0.7209
u591,0.8033,0.8342,0.8007
u592,0.6513,0.7985,0.6733
u593,0.6844,0.7688,0.6029
u594,0.7161,0.8098,0.7541
u595,0.7536,0.7792,0.7295
u596,0.7695,0.8394,0.7161
u597,0.6049,0.7539,0.6111
u598,0.7055,0.8169,0.6298
u599,0.8253,0.8803,0.7906
u600,0.746,0.8119,0.7888
u601,0.8208,0.8763,0.8345
u602,0.8076,0.8154,0.8104
u603,0.7653,0.8302,0.5931
u604,0.8465,0.8581,0.7852
u605,0.846,0.8581,0.8709
u606,0.6492,0.8418,0.7383
u607,0.7047,0.7808,0.7092
u608,0.6793,0.826,0.76
u609,0.7446,0.822,0.8192
u610,0.7179,0.8643,0.725
u611,0.7783,0.8003,0.7291
u612,0.8432,0.8939,0.8029
u613,0.7953,0.7835,0.7891
u614,0.7825,0.8143,0.7617
u615,0.7766,0.8639,0.7693
u616,0.799,0.8366,0.8939
u617,0.7425,0.758,0.7791
u618,0.736,0.8422,0.7511
u619,0.8859,0.8633,0.8821
u620,0.7654,0.8205,0.6906
u621,0.6558,0.7986,0.6061
u622,0.7182,0.8129,0.8276
u623,0.7517,0.8185,0.7548
u624,0.8139,0.8073,0.7727
u625,0.8224,0.8726,0.82
u626,0.6667,0.8038,0.7365
u627,0.7203,0.7668,0.7049
u628,0.7979,0.839,0.7854
u629,0.8376,0.8176,0.8581
u630,0.7191,0.8399,0.8454
u631,0.8398,0.8334,0.8077
u632,0.64,0.735,0.6736
u633,0.7198,0.7878,0.6478
u634,0.7538,0.8452,0.6789
u635,0.7158,0.9165,0.6957
u636,0.7218,0.8195,0.6784
u637,0.7902,0.8371,0.8279
u638,0.7621,0.8186,0.8373
u639,0.7426,0.8294,0.7902
u640,0.8338,0.8757,0.8312
u641,0.8208,0.8866,0.8936
u642,0.7835,0.8252,0.8836
u643,0.8103,0.8161,0.8506
u644,0.7411,0.84,0.7698
u645,0.7872,0.827,0.8253
u646,0.7604,0.8515,0.8724
u647,0.8011,0.7897,0.7971
u648,0.7072,0.8464,0.6589
u649,0.7821,0.8183,0.7857
u650,0.7276,0.7801,0.6568
u651,0.781,0.8484,0.7787
u652,0.7352,0.8441,0.7275
u653,0.8553,0.8993,0.8393
u654,0.8187,0.847,0.7712
u655,0.7115,0.8106,0.7349
u656,0.75,0.8031,0.7205
u657,0.7699,0.7941,0.8192
u658,0.7478,0.8075,0.7582
u659,0.7849,0.865,0.7546
u660,0.6897,0.8473,0.7113
u661,0.7931,0.7712,0.6717
u662,0.7619,0.8493,0.7967
u663,0.7383,0.8342,0.6772
u664,0.783,0.8342,0.859
u665,0.7347,0.7849,0.7911
u666,0.5954,0.9197,0.8102
u667,0.68,0.8274,0.7759
u668,0.8146,0.8103,0.7459
u669,0.7531,0.8335,0.7221
u670,0.6989,0.8662,0.6598
u671,0.7703,0.8204,0.7471
u672,0.7492,0.8285,0.813
u673,0.7685,0.805,0.7087
u674,0.7289,0.8396,0.6442
u675,0.8319,0.8951,0.833
u676,0.7285,0.8213,0.7403
u677,0.694,0.8035,0.605
u678,0.6611,0.8072,0.7435
u679,0.7373,0.8248,0.7581
u680,0.6946,0.8562,0.7719
u681,0.7546,0.7243,0.8256
u682,0.8531,0.8869,0.8754
u683,0.7497,0.7995,0.7969
u684,0.7094,0.7864,0.6966
u685,0.7264,0.8226,0.6817
u686,0.8298,0.8596,0.7649
u687,0.7469,0.7765,0.6493
u688,0.7087,0.8025,0.7143
u689,0.8192,0.8308,0.8584
u690,0.7799,0.8637,0.8189
u691,0.6513,0.8578,0.7427
u692,0.7372,0.8578,0.6844
u693,0.793,0.8275,0.7749
u694,0.8007,0.8429,0.8449
u695,0.7139,0.8531,0.746
u696,0.7119,0.7941,0.6684
u697,0.728,0.8048,0.7163
u698,0.7235,0.7975,0.6948
u699,0.7817,0.7808,0.746
u700,0.8269,0.9101,0.812
u701,0.6861,0.7845,0.6741
u702,0.7998,0.8379,0.8313
u703,0.7585,0.8577,0.7362
u704,0.7389,0.7824,0.7394
u705,0.8129,0.8301,0.75
u706,0.6933,0.8401,0.7021
u707,0.7331,0.7493,0.8257
u708,0.7763,0.7746,0.7069
u709,0.7393,0.8452,0.686
u710,0.774,0.8333,0.8097
u711,0.7893,0.8695,0.6882
u712,0.7867,0.7676,0.8013
u713,0.8354,0.8637,0.89
u714,0.5715,0.7495,0.6711
u715,0.7404,0.8808,0.8138
u716,0.8516,0.8446,0.7004
u717,0.8113,0.8156,0.7784
u718,0.7725,0.7914,0.8199
u719,0.7441,0.8598,0.7059
u720,0.7621,0.8128,0.6896
u721,0.6936,0.7954,0.7492
u722,0.7978,0.8595,0.7957
u723,0.7463,0.8177,0.7981
u724,0.7631,0.8562,0.7662
u725,0.7091,0.7695,0.7163
u726,0.7823,0.8213,0.8399
u727,0.8279,0.8785,0.8636
u728,0.767,0.7971,0.8932
u729,0.7317,0.8467,0.7201
u730,0.752,0.8743,0.8112
u731,0.7009,0.8031,0.7668
u732,0.6685,0.7591,0.7328
u733,0.8066,0.8279,0.8213
u734,0.7706,0.8783,0.7302
u735,0.6355,0.8507,0.7417
u736,0.7276,0.882,0.7031
u737,0.7369,0.7543,0.7031
u738,0.7171,0.773,0.6772
u739,0.8219,0.836,0.8478
u740,0.8016,0.8637,0.6677
u741,0.7974,0.8473,0.7033
u742,0.6958,0.8107,0.716
u743,0.7393,0.82,0.7705
u744,0.7761,0.8138,0.8038
u745,0.8157,0.8387,0.7892
u746,0.7602,0.8055,0.681
u747,0.8122,0.8153,0.7564
u748,0.7947,0.8166,0.8185
u749,0.7689,0.8792,0.7296
u750,0.8127,0.8706,0.8075
u751,0.7068,0.7733,0.6955
u752,0.6275,0.8182,0.7456
u753,0.7821,0.8725,0.8128
