48,[12 172 914 1115 1312 4620 7344 9171 11146 11581 12108],[0.0059233727 0.042015303 0.0058345376 0.004511706 0.0016313333 0.0016326655 0.3370927 0.00062490534 0.0001298973 0.5884537 0.0121498685]
49,[12 162 408 562 1295 1351 1588 1611 1617 1661 2018 2259 3588 3906 4547 5208 6083 6563 8171 8617 9441 9601 11114],[3.6460879e-06 0.0023435175 6.1032273e-07 5.895696e-06 5.2757765e-05 9.9611316e-05 1.2571969e-05 8.386482e-07 3.3384325e-07 1.8688712e-05 3.2783104e-05 0.0015833225 0.03461076 2.032405e-05 0.0030884468 5.0711827e-05 1.6780179e-05 0.61999315 0.00058771495 0.000598572 0.0028429893 0.3339939 4.193751e-05]
50,[13 2524 5348 9450 9890],[0.00061650394 0.12518159 0.3052705 0.25730044 0.3116309]
51,[13 2637 6199 7025],[2.7643244e-07 6.140513e-07 0.05230314 0.94769603]
52,[13 137 2637 3986 6052 8798 11344],[0.00031420903 9.532924e-06 0.00039949198 0.0012905503 0.7148924 0.28289902 0.00019483521]
53,[14 170 220 754 1036 1141 1291 1888 2526 2687 3414 5866 6195 7056 7300 7838 9288 10522 10789 10875],[2.1225642e-05 3.968841e-06 1.2023929e-06 4.4310661e-07 1.8054808e-06 1.0201413e-06 2.6184238e-05 0.008935708 2.6682922e-06 0.0007155933 0.0009070155 0.023015106 0.015515365 0.0037235403 0.93914443 0.0065921373 5.2093095e-05 6.7419074e-05 5.706251e-07 0.0012725425]
54,[14 841 1136 1264 1473 1946 2383 2403 2513 2861 3814 3854 4866 5866 5981 6635 7112 7874 10875],[0.09226381 1.2040492e-07 3.77594e-08 3.501964e-05 1.653325e-06 0.00071035593 0.00022251466 1.1514259e-05 0.00021824443 0.00035659753 0.026631469 0.000529326 0.0066737053 0.41631538 0.002761286 0.0019478283 0.16325954 0.28145355 0.0066080964]
55,[14 423 1091 1112 1146 1164 1420 4141 5062 6950 8436 11034 11114 11330],[4.8473953e-06 1.35614e-06 8.7819404e-07 9.4313646e-07 4.063546e-07 4.18347e-09 3.002434e-06 0.102835186 1.5450438e-05 0.49985054 0.39728233 2.2846638e-07 1.0027043e-06 3.811966e-06]
56,[14 201 2441 4678 5518 6490 7432 7475 9466 10603 10857 11590],[9.3337825e-08 3.3525854e-08 2.5452835e-06 2.2818861e-08 1.44498445e-05 9.717658e-06 4.5135122e-05 0.0007248204 0.999203 1.672068e-07 4.1086743e-09 7.7482385e-09]
57,[14 4374 5382 5653 6021 6795 7285 9542 10748],[4.339747e-06 0.000114274706 0.00082794455 2.5600016e-06 5.6459885e-06 0.0063657584 0.97792643 0.014744338 8.641184e-06]
58,[15 2978],[0.11150465 0.8884953]
59,[15 7235],[3.125963e-06 0.9999969]
60,[15 3554],[0.0059141624 0.9940858]
61,[15 6949],[0.0027934785 0.9972065]
62,[16 1903 2061 2674 3207 4697 5183 6711 6924 7736 7979 8812 9161 9456 10098 11597 11760 12086],[0.0001856323 1.3955362e-05 5.791529e-07 0.0059977416 0.0002956594 0.0001357957 1.2360695e-06 0.00013268743 0.81826085 0.001141926 0.035912637 3.919156e-05 0.13696647 9.3074664e-07 0.00090528 6.825856e-06 1.4683686e-06 1.1212331e-06]
63,[16 5830],[0.96214396 0.037856035]
64,[17 1355 2148 9837 11919],[0.0038610972 0.0074496986 0.0034875004 0.9701046 0.015097154]
65,[17 2066 4498 7713],[0.0059975837 0.0012796376 0.9216467 0.071076]
66,[17 2240 9837],[0.06018821 0.8992379 0.040573902]
67,[17 8867],[0.08128118 0.91871876]
68,[18 1891 3107 3723 5532 9152],[0.00014358679 0.0009557497 0.12725034 0.8613733 0.00032277938 0.009954208]
69,[18 446 2251 2423 4538 6772 7684 10786 11815 12113],[0.011909857 0.00027787726 0.0004847194 0.67784196 0.009367011 0.261862 0.007249809 0.029867843 0.0001365175 0.0010024788]
70,[18 6144 8672],[0.0004501151 0.04866283 0.9508871]
71,[18 6150 6222],[0.00019121043 0.73411334 0.26569548]
72,[18 6258 11053],[0.00120493 0.99597377 0.0028212122]
73,[19],[1.0]
